,date_time,Quantity,maxtempC,mintempC,FeelsLikeC,avgtempC,month,Population
0,2020-07-02,1,32.0,18.0,25.0,25.0,7,2383716
1,2020-07-09,2,37.0,19.0,29.0,28.0,7,2383716
2,2020-07-21,1,38.0,22.0,31.0,30.0,7,2383716
3,2020-08-30,1,34.0,19.0,27.0,26.0,8,2383716
4,2020-09-12,1,34.0,19.0,27.0,26.0,9,2383716
5,2020-10-15,1,33.0,15.0,25.0,24.0,10,2383716
6,2020-10-17,1,33.0,16.0,25.0,24.0,10,2383716
7,2020-10-19,1,32.0,15.0,24.0,23.0,10,2383716
8,2020-10-27,1,19.0,4.0,12.0,11.0,10,2383716
9,2020-11-13,3,17.0,4.0,9.0,10.0,11,2383716
10,2020-11-18,1,19.0,11.0,13.0,15.0,11,2383716
11,2020-11-21,1,20.0,7.0,13.0,13.0,11,2383716
12,2020-12-20,1,16.0,1.0,8.0,8.0,12,2383716
13,2020-12-23,1,15.0,3.0,8.0,9.0,12,2383716
14,2020-12-29,2,11.0,2.0,4.0,6.0,12,2383716
15,2021-01-04,1,16.0,6.0,9.0,11.0,1,2383716
16,2021-01-05,1,15.0,7.0,9.0,11.0,1,2383716
17,2021-01-14,2,19.0,8.0,13.0,13.0,1,2383716
18,2021-01-15,1,20.0,10.0,14.0,15.0,1,2383716
19,2021-01-22,1,12.0,7.0,7.0,9.0,1,2383716
20,2021-01-27,1,7.0,0.0,2.0,3.0,1,2383716
21,2021-01-28,1,7.0,3.0,3.0,5.0,1,2383716
22,2021-02-19,1,15.0,5.0,9.0,10.0,2,2383716
23,2021-02-22,1,17.0,7.0,11.0,12.0,2,2383716
24,2021-02-25,1,12.0,6.0,8.0,9.0,2,2383716
25,2021-02-26,1,16.0,5.0,10.0,10.0,2,2383716
26,2021-03-01,1,14.0,5.0,9.0,9.0,3,2383716
27,2021-03-04,1,16.0,5.0,9.0,10.0,3,2383716
28,2021-03-07,1,17.0,7.0,11.0,12.0,3,2383716
29,2021-03-14,2,17.0,5.0,9.0,11.0,3,2383716
30,2021-03-16,1,12.0,1.0,3.0,6.0,3,2383716
31,2021-03-23,1,14.0,7.0,8.0,10.0,3,2383716
32,2021-03-24,1,17.0,6.0,10.0,11.0,3,2383716
33,2021-03-26,1,17.0,7.0,12.0,12.0,3,2383716
34,2021-04-01,1,24.0,13.0,18.0,18.0,4,2383716
35,2021-04-02,1,27.0,15.0,21.0,21.0,4,2383716
36,2021-04-04,1,28.0,15.0,22.0,21.0,4,2383716
37,2021-04-10,1,24.0,11.0,17.0,17.0,4,2383716
38,2021-04-16,1,23.0,11.0,17.0,17.0,4,2383716
39,2021-04-18,1,25.0,14.0,20.0,19.0,4,2383716
40,2021-04-25,1,15.0,9.0,10.0,12.0,4,2383716
41,2021-05-01,1,28.0,19.0,23.0,23.0,5,2383716
42,2021-05-04,1,29.0,17.0,23.0,23.0,5,2383716
43,2021-05-13,1,32.0,19.0,25.0,25.0,5,2383716
44,2021-05-14,1,31.0,18.0,25.0,24.0,5,2383716
45,2021-05-19,1,26.0,14.0,20.0,20.0,5,2383716
46,2021-05-24,1,29.0,14.0,22.0,21.0,5,2383716
47,2021-05-29,1,30.0,17.0,24.0,23.0,5,2383716
48,2021-06-04,1,35.0,21.0,29.0,28.0,6,2383716
49,2021-06-12,2,33.0,15.0,25.0,24.0,6,2383716
50,2021-06-13,2,35.0,19.0,27.0,27.0,6,2383716
51,2021-06-17,2,40.0,25.0,33.0,32.0,6,2383716
52,2021-06-22,1,33.0,21.0,27.0,27.0,6,2383716
53,2021-06-25,1,34.0,19.0,27.0,26.0,6,2383716
54,2021-06-26,4,,,,,6,2383716
55,2021-06-27,1,,,,,6,2383716
56,2021-06-28,2,,,,,6,2383716
